Kode,Nama Perusahaan,Papan Pencatatan,Kategori
MEDS,Hetzer Medical Indonesia Tbk.,Pengembangan,Lainnya
COAL,Black Diamond Resources Tbk.,Pengembangan,Energi & Pertambangan
PRAY,Famon Awal Bros Sedaya Tbk.,Utama,Lainnya
CBUT,Citra Borneo Utama Tbk.,Utama,Lainnya
BELI,Global Digital Niaga Tbk.,Pengembangan,Teknologi
MKTR,Menthobi Karyatama Raya Tbk.,Utama,Konstruksi & Bahan Bangunan
OMED,Jayamas Medica Industri Tbk.,Utama,Lainnya
BSBK,Wulandari Bangun Laksana Tbk.,Pengembangan,Properti & Real Estate
PDPP,Primadaya Plastisindo Tbk.,Pengembangan,Lainnya
KDTN,Puri Sentul Permai Tbk.,Pengembangan,Properti & Real Estate
ZATA,Bersama Zatta Jaya Tbk.,Pengembangan,Lainnya
NINE,Techno9 Indonesia Tbk.,Akselerasi,Lainnya
MMIX,Multi Medika Internasional Tbk,Pengembangan,Farmasi & Kesehatan
PADA,Personel Alih Daya Tbk.,Pengembangan,Lainnya
ISAP,Isra Presisi Indonesia Tbk.,Akselerasi,Lainnya
VTNY,Venteny Fortuna International,Pengembangan,Lainnya
SOUL,Mitra Tirta Buwana Tbk.,Akselerasi,Lainnya
ELIT,Data Sinergitama Jaya Tbk.,Pengembangan,Teknologi
BEER,Jobubu Jarum Minahasa Tbk.,Pengembangan,Lainnya
CBPE,Citra Buana Prasida Tbk.,Pengembangan,Lainnya
SUNI,Sunindo Pratama Tbk.,Utama,Lainnya
CBRE,Cakra Buana Resources Energi T,Pengembangan,Energi & Pertambangan
WINE,Hatten Bali Tbk.,Pengembangan,Lainnya
BMBL,Lavender Bina Cendikia Tbk.,Akselerasi,Lainnya
PEVE,Penta Valent Tbk.,Pengembangan,Lainnya
LAJU,Jasa Berdikari Logistics Tbk.,Pengembangan,Transportasi & Logistik
FWCT,Wijaya Cahaya Timber Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
NAYZ,Hassana Boga Sejahtera Tbk.,Akselerasi,Lainnya
IRSX,Folago Global Nusantara Tbk.,Pengembangan,Lainnya
PACK,Abadi Nusantara Hijau Investam,Akselerasi,Lainnya
VAST,Vastland Indonesia Tbk.,Pengembangan,Properti & Real Estate
CHIP,Pelita Teknologi Global Tbk.,Akselerasi,Teknologi
HALO,Haloni Jane Tbk.,Pengembangan,Lainnya
KING,Hoffmen Cleanindo Tbk.,Akselerasi,Lainnya
PGEO,Pertamina Geothermal Energy Tb,Utama,Energi & Pertambangan
FUTR,Futura Energi Global Tbk.,Pengembangan,Energi & Pertambangan
HILL,Hillcon Tbk.,Pemantauan Khusus,Lainnya
BDKR,Berdikari Pondasi Perkasa Tbk.,Utama,Lainnya
PTMP,Mitra Pack Tbk.,Pengembangan,Lainnya
SAGE,Saptausaha Gemilangindah Tbk.,Pemantauan Khusus,Lainnya
TRON,Teknologi Karya Digital Nusa T,Pengembangan,Konstruksi & Bahan Bangunan
CUAN,Petrindo Jaya Kreasi Tbk.,Utama,Lainnya
NSSS,Nusantara Sawit Sejahtera Tbk.,Pengembangan,Perkebunan & Agrikultur
GTRA,Grahaprima Suksesmandiri Tbk.,Pengembangan,Properti & Real Estate
HAJJ,Arsy Buana Travelindo Tbk.,Akselerasi,Lainnya
JATI,Informasi Teknologi Indonesia,Pengembangan,Teknologi
TYRE,King Tire Indonesia Tbk.,Pengembangan,Lainnya
MPXL,MPX Logistics International Tb,Pengembangan,Transportasi & Logistik
SMIL,Sarana Mitra Luas Tbk.,Utama,Lainnya
KLAS,Pelayaran Kurnia Lautan Semest,Pengembangan,Transportasi & Logistik
MAXI,Maxindo Karya Anugerah Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
VKTR,VKTR Teknologi Mobilitas Tbk.,Pengembangan,Teknologi
RELF,Graha Mitra Asia Tbk.,Akselerasi,Properti & Real Estate
AMMN,Amman Mineral Internasional Tb,Utama,Lainnya
CRSN,Carsurin Tbk.,Pengembangan,Lainnya
GRPM,Graha Prima Mentari Tbk.,Akselerasi,Properti & Real Estate
WIDI,Widiant Jaya Krenindo Tbk.,Akselerasi,Lainnya
TGUK,Platinum Wahab Nusantara Tbk.,Pemantauan Khusus,Lainnya
INET,Sinergi Inti Andalan Prima Tbk,Pengembangan,Lainnya
MAHA,Mandiri Herindo Adiperkasa Tbk,Utama,Lainnya
RMKO,Royaltama Mulia Kontraktorindo,Pengembangan,Lainnya
CNMA,Nusantara Sejahtera Raya Tbk.,Pengembangan,Lainnya
FOLK,Multi Garam Utama Tbk.,Pengembangan,Lainnya
HBAT,Minahasa Membangun Hebat Tbk.,Akselerasi,Konstruksi & Bahan Bangunan
GRIA,Ingria Pratama Capitalindo Tbk,Pengembangan,Pembiayaan & Sekuritas
PPRI,Paperocks Indonesia Tbk.,Pengembangan,Industri Dasar & Kimia
ERAL,Sinar Eka Selaras Tbk.,Utama,Lainnya
CYBR,ITSEC Asia Tbk.,Pengembangan,Lainnya
MUTU,Mutuagung Lestari Tbk.,Pengembangan,Lainnya
LMAX,Lupromax Pelumas Indonesia Tbk,Akselerasi,Lainnya
HUMI,Humpuss Maritim Internasional,Pengembangan,Lainnya
MSIE,Multisarana Intan Eduka Tbk.,Akselerasi,Lainnya
RSCH,Charlie Hospital Semarang Tbk.,Pengembangan,Farmasi & Kesehatan
BABY,Multitrend Indo Tbk.,Pengembangan,Lainnya
AEGS,Anugerah Spareparts Sejahtera,Akselerasi,Lainnya
IOTF,Sumber Sinergi Makmur Tbk.,Pengembangan,Lainnya
KOCI,Kokoh Exa Nusantara Tbk.,Pengembangan,Lainnya
PTPS,Pulau Subur Tbk.,Pengembangan,Lainnya
BREN,Barito Renewables Energy Tbk.,Utama,Energi & Pertambangan
STRK,Lovina Beach Brewery Tbk.,Pengembangan,Lainnya
KOKA,Koka Indonesia Tbk.,Pengembangan,Lainnya
LOPI,Logisticsplus International Tb,Akselerasi,Transportasi & Logistik
UDNG,Agro Bahari Nusantara Tbk.,Akselerasi,Perkebunan & Agrikultur
